title,link,category
Sumardji Bantah Simon Tahamata Jadi Kepala Scouting Timnas Indonesia,https://www.cnnindonesia.com/olahraga/20250519214726-142-1230918/sumardji-bantah-simon-tahamata-jadi-kepala-scouting-timnas-indonesia,olahraga
Pengamat Sebut Absennya Pemain Persib di Timnas Tergantung Kebutuhan,https://www.cnnindonesia.com/olahraga/20250519184923-142-1230884/pengamat-sebut-absennya-pemain-persib-di-timnas-tergantung-kebutuhan,olahraga
Tiket Timnas Indonesia vs ChinaSold OutTanpa Tersisa,https://www.cnnindonesia.com/olahraga/20250519204434-142-1230912/tiket-timnas-indonesia-vs-china-sold-out-tanpa-tersisa,olahraga
Timnas Futsal Indonesia Ingin Jajal Belanda dan Rusia,https://www.cnnindonesia.com/olahraga/20250519200357-142-1230904/timnas-futsal-indonesia-ingin-jajal-belanda-dan-rusia,olahraga
Pengamat: Tak Perlu Ributkan Elkan Baggott di Timnas Indonesia,https://www.cnnindonesia.com/olahraga/20250519164423-142-1230832/pengamat-tak-perlu-ributkan-elkan-baggott-di-timnas-indonesia,olahraga
"Shayne Pattynama Pamer di Thailand, Selangkah Lagi Gabung Buriram?",https://www.cnnindonesia.com/olahraga/20250519193622-142-1230899/shayne-pattynama-pamer-di-thailand-selangkah-lagi-gabung-buriram,olahraga
Hilgers Dikritik Habis-habisan: Dia Pikir Dia Bintang Dunia,https://www.cnnindonesia.com/olahraga/20250519185950-142-1230888/hilgers-dikritik-habis-habisan-dia-pikir-dia-bintang-dunia,olahraga
"PSSI Ungkap Alasan Elkan Baggott Tak Masuk Timnas Indonesia, Ada Apa?",https://www.cnnindonesia.com/olahraga/20250519183338-142-1230879/pssi-ungkap-alasan-elkan-baggott-tak-masuk-timnas-indonesia-ada-apa,olahraga
Kata-kata Pelatih Inter Miami Usai Messi dkk Keok Lagi di MLS,https://www.cnnindonesia.com/olahraga/20250519152048-142-1230788/kata-kata-pelatih-inter-miami-usai-messi-dkk-keok-lagi-di-mls,olahraga
"Pengamat: Lilipaly Beri Warna untuk Timnas, Wajib Adaptasi Era 'Baru'",https://www.cnnindonesia.com/olahraga/20250519171633-142-1230842/pengamat-lilipaly-beri-warna-untuk-timnas-wajib-adaptasi-era-baru,olahraga
