title,link,category,content,date
Sumardji Bantah Simon Tahamata Jadi Kepala Scouting Timnas Indonesia,https://www.cnnindonesia.com/olahraga/20250519214726-142-1230918/sumardji-bantah-simon-tahamata-jadi-kepala-scouting-timnas-indonesia,olahraga,"Ketua Badan Tim Nasional (BTN) Sumardji membantahSimon Tahamataakan bergabung denganTimnas Indonesiasebagai Kepala Pencari Bakat PSSI.
""Hoaks,"" ucap Sumardji melalui pesan singkat kepada CNNIndonesia.com pada Senin (19/5) malam.
Sebelumnya, media Belanda Voetbal Primeur, mengungkapkan bahwa Simon Tahamata akan menjadi Kepala Bidang Pencari Bakat Timnas Indonesia.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Simon Tahamata telah menemukan tantangan baru yang hebat. Mantan pemain Ajax dan timnas Belanda itu akan menjadi Kepala Bidang Pencari Bakat Timnas Indonesia,"" tulisVoetbal Primeurdalam beritanya pada Senin (19/5).
""Ia akan bekerja di sana [di Indonesia] dengan pelatih [tim] nasional [Indonesia] Patrick Kluivert, yang akan dibantu oleh asisten Denny Landzaat dan Alex Pastoor. Sebuah langkah yang indah Simon Tahamata. Semoga beruntung!,"" tulis Voetbal Primeur.
Namun kabar ini telah dibantah oleh Ketua BTN Sumardji yang menyebut kabar tersebut adalah hoaks.
Simon Tahamata adalah mantan pemain sepak bola profesional yangmemiliki keturunan Indonesia.
Ia lahir di Vught, Belanda, tetapi memiliki garis keturunan dari orang tua yang berasal dari Maluku.

[Gambas:Instagram]

Simon Tahamata memiliki karier yang sukses di Belanda, bermain untuk klub-klub seperti NAC Breda dan Ajax Amsterdam, serta membela tim nasional Belanda. Ia dikenal karena kecepatan, dribbling, dan kemampuan teknisnya yang luar biasa.
Untuk karier kepelatihan, Simon Tahamata dikenal berpengalaman dalam melatih pemain-pemain usia muda. Dia pernah menjadi pelatih di akademi Ajax, Al Ahli, dan Standard Liege.
Nama Simon Tahamata juga sering dikaitkan dengan kemungkinan menjadi Direktur Teknik PSSI (Persatuan Sepak Bola Seluruh Indonesia). Selain itu, ia juga dikenal karena kepeduliannya terhadap pemain keturunan Indonesia di Belanda.

[Gambas:Video CNN]

",
Pengamat Sebut Absennya Pemain Persib di Timnas Tergantung Kebutuhan,https://www.cnnindonesia.com/olahraga/20250519184923-142-1230884/pengamat-sebut-absennya-pemain-persib-di-timnas-tergantung-kebutuhan,olahraga,"Pengamat sepak bola nasional Supriyono Prima menyebut absennya pemainPersib BandungdiTimnas Indonesiabergantung pada kebutuhan tim.
Pelatih Timnas Indonesia, Patrick Kluivert memanggil 32 daftar pemain Timnas Indonesia untuk pemusatan latihan (TC) di Bali mulai 26 Mei mendatang. Dari nama-nama tersebut, tidak ada satupun penggawa Persib.
""Kebutuhan pemain di Timnas membuat persaingan lebih ketat. Misalnya di tengah untuk Marc Klok, itu sudah ada [Joey] Pelupessy yang jadi kompetitor,"" kata Supriyono kepada CNNIndonesia.com, Senin (19/5).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Untuk Beckham [Putra], di posisinya bisa diisi Marselino, Eliano, dan pemain lainnya. Ini bukan masalah bagus atau jelek si pemain, tapi tentang kebutuhan timnya perlu atau tidak pemain itu,"" ia menambahkan.
Selain tak ada pemain Persib, hal lain yang turut disorot publik adalah Elkan Baggott yang kembali absen. Padahal yang bersangkutan dikabarkan tengah berada di Bali.
""Elkan Baggott memang dibutuhkan [Timnas]. Tapi setelah beberapa kali pemanggilan tak ada nama dia, kalau saya sebagai pelatih sebaiknya tim harus tetap jalan [tanpa Baggott],"" ujar dia.
Supriyono berpendapat, sebaiknya publik berfokus pada dua laga yang akan dijalani Timnas Indonesia. Skuad Garuda bakal melawan China pada 5 Juni dan Jepang pada 10 Juni di sisa putaran ketiga Kualifikasi Piala Dunia 2026 zona Asia.

""Dua laga ini krusial. Sudah lah tidak usah memperdebatkan Elkan Baggot karena pelatih tentu memanggil pemain sesuai kebutuhan tim,"" katanya.
Kluivert memanggil lima bek tengah yakni Jay Idzes, Mees Hilgers, Jordi Amat, Rizky Ridho, dan Justin Hubner. Menurut Supriyono, komposisi ini sudah cukup untuk menjalani dua laga penting yang terdekat.
""Lima bek tengah yang dipanggil adalah pilihan pelatih. Pemain-pemain itu sudah ada sejak dua laga terakhir. Kalau misalnya Baggott dipanggil, bisa dibilang itu adalah coba-coba untuk pelatih yang sekarang,"" ucapnya.

[Gambas:Video CNN]",
Tiket Timnas Indonesia vs ChinaSold OutTanpa Tersisa,https://www.cnnindonesia.com/olahraga/20250519204434-142-1230912/tiket-timnas-indonesia-vs-china-sold-out-tanpa-tersisa,olahraga,"TiketTimnas Indonesia vs Chinadalam lanjutan Kualifikasi Piala Dunia 2026 benar-benar sudah terjual habis pada Senin (19/5) malam.
Informasi soal tiket yang laku terjual dikabarkan melalui akun @timnasindonesia di media sosial.
'Karcis' masuk Stadion Utama Gelora Bung Karno untuk menyaksikan laga Indonesia vs China pada 5 Juni mendatang terakhir dijual pada hari ini.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Tiket pertandingan Indonesia vs China tak tersisa lagi setelah penjualan pada hari ini, Senin (19/5).
Pada Jumat (16/5) sempat disebut tiket Timnas Indonesia vs China ludes. Tiket yang dimaksud habis pada tiga hari lalu tersebut merupakan yang dijual melalui Livin by Mandiri.
Tiket yang dijual melalui Livin by Mandiri berjumlah 80 persen dari total tiket yang diperjualbelikan. Sementara 20 persen tiket sisa dijual pada hari ini, Senin (19/5).
PSSI menyediakan sekitar 70 ribut tiket dari 76 ribu kapasitas Stadion Utama Gelora Bung Karno.
Duel melawan China bisa dibilang sebagai laga hidup-mati bagi Indonesia. Pertandingan akan berlangsung di Stadion Utama Gelora Bung Karno, Jakarta, pada 5 Juni mendatang.
PSSI menyediakan berbagai harga tiket Indonesia vs China. Tiket termurah dibanderol Rp300 ribu hingga yang termahal seharga Rp1,75 juta.
Selain itu, kategori tiket hospitality atau tiket yang memiliki sejumlah keuntungan eksklusif juga habis diborong pembeli.
Harga tiket Indonesia vs China tidak mengalami peningkatan atau sama dengan pertandingan sebelumnya saat menjamu Bahrain pada 25 Maret lalu.

[Gambas:Video CNN]",
Timnas Futsal Indonesia Ingin Jajal Belanda dan Rusia,https://www.cnnindonesia.com/olahraga/20250519200357-142-1230904/timnas-futsal-indonesia-ingin-jajal-belanda-dan-rusia,olahraga,"Timnas Futsal Indonesiamengincar kesempatan beruji tanding dengan negara-negara Eropa seperti Belanda, Rusia, dan Latvia.
Ketua Umum Federasi Futsal Indonesia (FFI), Michael Sianipar, berharap anak asuh Hector Souto bisa menjajal kekuatan tiga negara tersebut pada FIFA matchday November 2025 sekaligus menjadi sarana mengukur kemampuan sebelum SEA Games 2025.
""Kami ingin memaksimalkan FIFA Matchday November sebagai momentum persiapan timnas. Sudah ada komunikasi dengan Belanda dan Rusia,"" kata Michael dikutip dari Antara.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Komunikasi dengan Belanda sudah dijalin sejak awal 2025, sementara kontak dengan Rusia dan Belanda baru dimulai pada Maret. Ketiga negara tersebut diklaim berminat tampil di Indonesia.
Saat ini Indonesia berada di posisi ke-21 dalam ranking futsal FIFA. Sementara Rusia menduduki ranking 8, Belanda ada di peringkat ke-29, dan Latvia di posisi ke-60.
FFI juga mempertimbangkan penyelenggaraan 4 Nations Futsal Series pada September serta pertandingan internasional lain sebelum SEA Games bergulir pada akhir tahun.
""Menuju Piala Asia (futsal) 2026 yang akan dilaksanakan di Indonesia, saya punya harapan, karena kita tuan rumah, kalau bisa kita masuk final,"" ujar Michael.
""Ranking futsal kita saat ini sudah tinggi, tim putra ada di peringkat 21 dunia. Jadi penting bagi kita untuk menjajal lawan-lawan kelas dunia agar pemain makin terasah dan publik juga makin percaya diri,"" katanya menambahkan

Tak cuma untuk kepentingan Timnas futsal Indonesia, laga-laga tersebut juga diharapkan bisa menjadi hiburan bagi masyarakat.
Guna melancarkan rencana menempatkan pemain-pemain nomor satu Indonesia dalam laga internasional, FFI berkomunikasi dengan klub-klub peserta Liga Futsal Profesional Indonesia terkait dengan jadwal kompetisi yang padat.

[Gambas:Video CNN]",
Pengamat: Tak Perlu Ributkan Elkan Baggott di Timnas Indonesia,https://www.cnnindonesia.com/olahraga/20250519164423-142-1230832/pengamat-tak-perlu-ributkan-elkan-baggott-di-timnas-indonesia,olahraga,"Pengamat sepak bola nasional Supriyono Prima menyebut publik tak perlu lagi memperdebatkanElkan BaggottdiTimnas Indonesia.
Daftar 32 pemain Timnas Indonesia di pemusatan latihan (TC) jadi sorotan publik usai tak ada nama Elkan Baggott. Padahal yang bersangkutan dikabarkan tengah berada di Bali.
""Elkan Baggott memang dibutuhkan [Timnas]. Tapi setelah beberapa kali pemanggilan tak ada nama dia, kalau saya sebagai pelatih sebaiknya tim harus tetap jalan [tanpa Baggott],"" kata Supriyono kepada CNNIndonesia.com, Senin (19/5).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Supriyono berpendapat, sebaiknya publik berfokus pada dua laga yang akan dijalani Timnas Indonesia. Skuad Garuda bakal melawan China pada 5 Juni dan Jepang pada 10 Juni di sisa putaran ketiga Kualifikasi Piala Dunia 2026 zona Asia.
""Dua laga ini krusial. Sudahlah tidak usah memperdebatkan Elkan Baggott karena pelatih tentu memanggil pemain sesuai kebutuhan tim,"" ujarnya.
Dalam daftar 32 pemain Timnas Indonesia di TC Bali, Kluivert memanggil lima bek tengah yakni Jay Idzes, Mees Hilgers, Jordi Amat, Rizky Ridho, dan Justin Hubner. Menurut Supriyono, komposisi ini sudah cukup untuk menjalani dua laga penting yang terdekat.
""Lima bek tengah yang dipanggil adalah pilihan pelatih. Pemain-pemain itu sudah ada sejak dua laga terakhir. Kalau misalnya Baggott dipanggil, bisa dibilang itu adalah coba-coba untuk pelatih yang sekarang,"" ucapnya.
""Baggott mungkin akan butuh penyesuaian karena era kepelatihannya berbeda,"" ia menambahkan.

Timnas Indonesia dijadwalkan memulai rangkaian TC di Bali pada 26 Mei mendatang. Kurang lebih Kluivert punya 10 hari sebelum laga kontra China untuk menyusun formula terbaik.
Saat ini Timnas Indonesia berada di peringkat keempat klasemen sementara Grup C dengan sembilan angka. Tim Merah Putih masih punya kesempatan untuk lolos langsung ke Piala Dunia 2026 jika finis di peringkat kedua, atau melanjutkan langkah ke putaran keempat apabila menghuni posisi ketiga atau keempat.

[Gambas:Video CNN]",
"Shayne Pattynama Pamer di Thailand, Selangkah Lagi Gabung Buriram?",https://www.cnnindonesia.com/olahraga/20250519193622-142-1230899/shayne-pattynama-pamer-di-thailand-selangkah-lagi-gabung-buriram,olahraga,"Bek Timnas IndonesiaShayne Pattynamamengunggah momen telah berada di Thailand, Senin (19/5). Hal ini makin membuat wacana kepindahannya keBuriram Unitedkian menguat.
""Bangkok, Thailand,"" tulis keterangan lokasi dalam unggahan video singkat di Instastory sang pemain.
Wacana Shayne pindah ke Buriram diketahui dari cuitan ASEAN Football di X pada Minggu (18/5). Pemain naturalisasi Timnas Indonesia itu dilaporkan tinggal selangkah lagi gabung Buriram.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Kepindahannya ke Liga Thailand akan menggunakan kuota pemain Asia Tenggara.""
""[Pattynama] dijadwalkan melakukan menjalani pemeriksaan medis besok [Senin]. Jika lolos tes medis, ia akan resmi bergabung dengan Buriram United,"" cuitan ASEAN Footbaal.
Kabar Shayne Pattynama akan bergabung dengan Buriram ini muncul di hari yang sama dengan pengumuman daftar 32 pemain Timnas Indonesia.
Shayne Pattynama masuk dalam daftar 32 pemain yang akan mengikuti pemusatan latihan di Bali jelang melawan China dan Jepang dalam lanjutan babak ketiga Kualifikasi Piala Dunia 2026 pada Juni mendatang.
Shayne Pattynama saat ini memang berstatus tanpa klub. Pemain yang menempati posisi bek kiri ini berstatus bebas transfer setelah putus kontrak dengan klub kasta kedua Belgia, KAS Eupen.
Pemutusan kontrak itu terjadi pada awal Mei 2025. Perpisahan ini dilakukan lebih awal karena kontrak Pattynama sebenarnya baru berakhir pada Juni 2026 mendatang.
Menit bermain ditengarai jadi alasan Shayne Pattynama setuju untuk pisah dengan KAS Eupen. Musim ini eks pemain FC Utrecht itu hanya bermain 17 kali dari total 30 laga yang bisa dimainkan di semua kompetisi.

[Gambas:Video CNN]
",
Hilgers Dikritik Habis-habisan: Dia Pikir Dia Bintang Dunia,https://www.cnnindonesia.com/olahraga/20250519185950-142-1230888/hilgers-dikritik-habis-habisan-dia-pikir-dia-bintang-dunia,olahraga,"Mantan pemain FC Twente asal Denmark Kenneth Perez mengkritik keras performaMees Hilgersyang dianggap menurun usai berstatus sebagai pemainTimnas Indonesia.
Kritik itu disampaikan Perez setelah pertandingan Ajax Amsterdam versus FC Twente di Johan Cruijff Arena, Minggu (18/5). Dalam laga ini Twente kalah dengan skor 0-2.
Perez sangat tidak puas dengan penampilan Hilgers pada babak pertama melawan Ajax. Gol tuan rumah, menurut Perez, berawal dari kesalahan Hilgers yang tampil ceroboh.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Gol itu berasal dari pelanggaran, maaf untuk mengatakannya, si bodoh Hilgers,"" kata Perez dalam wawancara dengan ESPN, dilansir dariVoetbal Primeur.
""Entah apa yang terjadi padanya sejak menjadi pemain internasional untuk Indonesia. Ia pikir ia bintang dunia. 'Lihat betapa kuatnya aku.' Namun ia selalu kalah dalam duel dengan [pemain Ajax, Brian] Brobbey!""
Tak cukup sampai di situ, Perez juga menyebut Hilgers tak bermain cerdik. Menurutnya sah saja seorang pemain ingin unjuk kebolehan, tetapi harus sadar situasi dan kondisi.
""Sungguh tidak terlarang seorang bek menggunakan otaknya, bahkan jika kamu ingin menunjukkan seberapa kuat dirimu. Gunakan pada saat yang tepat. Hilgers benar-benar tidak waras,"" ujarnya.

Karena penampilannya yang tidak stabil tersebut, Hilgers hanya main satu babak. Pada awal babak kedua ia digantikan Alec van Hoorenbeeck. Ini adalah kali kesembilan Hilgers digantikan di tengah laga.
Musim ini Hilgers 32 kali tampil membela FC Twente di semua ajang. Dar 32 laga ini, ia jadi starter sebanyak 30 kali atau hanya dua kali masuk sebagai pemain pengganti.
Performa Hilgers pada musim ini memang jadi sorotan. Setelah mengalami cedera beberapa kali, permainannya tidak seperti biasanya. Kritik ini Perez ini diharapkan bisa menjadi sarana memperbaiki diri.
Sementara itu, Hilgers masuk daftar panggil Timnas Indonesia untuk menghadapi China di Stadion Utama Gelora Bung Karno, Senayan, Jakarta pada 5 Juni mendatang.

[Gambas:Video CNN]",
"PSSI Ungkap Alasan Elkan Baggott Tak Masuk Timnas Indonesia, Ada Apa?",https://www.cnnindonesia.com/olahraga/20250519183338-142-1230879/pssi-ungkap-alasan-elkan-baggott-tak-masuk-timnas-indonesia-ada-apa,olahraga,"PSSImengungkapkan alasan tidak memanggilElkan Baggottdalam skuadTimnas Indonesiauntuk melawan China dan Jepang di Kualifikasi Piala Dunia 2026.
Rumor Baggott kembali ke Timnas Indonesia berembus kencang dalam sepekan terakhir. Itu lantaran Baggott sudah berada di Bali, tempat berlangsungnya pemusatan latihan Timnas Indonesia yang bakal dimulai pada 26 Mei mendatang.
Namun dalam daftar yang dirilis, tidak ada nama Elkan Baggott. Untuk posisi bek tengah, PSSI memanggil Jay Idzes, Jordi Amat, Rizky Ridho, Justin Hubner, dan Mees Hilgers.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Anggota Exco PSSI Arya Sinulingga mencoba menjawab soal keputusan Patrick Kluivert tak memanggil Elkan Baggott.
""Elkan Baggott ini sudah lama kita tanya, [Elkan] mengatakan bahwa dia fokus di klub, jadi ya kita serahkan semua kepada Elkan sebagai pemain. Kita hargai dan hormati Elkan yang memang fokus di klub, walaupun mungkin lagi libur, tapi tetap saja dia fokus ke sana katanya, jadi kita berikan keleluasaan untuk fokus di sana,"" kata Arya Sinulingga dalam keterangan video kepada awak media.
""Di samping itu kita juga melihat posisi bek kita, ada Jay Idzes, ada Ridho dan sebagainya, cukup kuat juga tim bek kita, jadi oke. Kita maju terus dan beri semangat untuk Ragnar [Oratmangoen] serta Elkan,"" ujar Arya menambahkan.
Ragnar sendiri dipastikan absen melawan China dan Jepang karena alasan kesehatan.

""Ragnar itu memang menyampaikan ke kita bahwa dia kena sakit dan harus ada proses penyembuhan, karena kesehatan yang penting, jadi kita juga dukung Ragnar untuk bisa istirahat sehingga dia tidak masuk skuad Timnas kali ini,"" ujar Arya.
Oratmangoen memang sudah absen membela FCV Dender sejak Maret. Oratmangoen terakhir kali tampil saat membela Dender melawan KVC Mechelen.
Setelah kembali dari tugas membela Timnas Indonesia pada laga lawan Bahrain, Oratmangoen tidak lagi berlaga bersama FCV Dender karena masalah kesehatan.

[Gambas:Video CNN]",
Kata-kata Pelatih Inter Miami Usai Messi dkk Keok Lagi di MLS,https://www.cnnindonesia.com/olahraga/20250519152048-142-1230788/kata-kata-pelatih-inter-miami-usai-messi-dkk-keok-lagi-di-mls,olahraga,"Javier Mascheranomerespons kekalahan telak yang dialami Inter Miami saat menjamu Orlando City pada lanjutan MLS, Senin (19/5) pagi WIB.
Kehadiran sederet bintang seperti Lionel Messi, Luis Suarez, Sergio Busquets, dan Jordi Alba tak mampu menyelamatkan Inter Miami dari kekalahan menyakitkan di depan publik sendiri.
Inter Miami dibuat bertekuk lutut 0-3 dari Orlando City di Stadion Chase, Florida. Ini merupakan kekalahan ketiga dari lima laga terakhir Miami di MLS.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Selepas pertandingan, Mascherano tak bisa menyembunyikan kekecewaannya menyusul hasil negatif di kandang sendiri.
""Tim ini telah banyak kehilangan kepercayaan diri. Kami telah mengalami penurunan permainan secara individu maupun kolektif,"" kata Mascherano mengawali konferensi pers usai pertandingan sebagaimana dikutipMundo Deportivo.
""Jelas kami telah mencoba melakukan segalanya, termasuk menggunakan sistem permainan yang berbeda, pemain yang beda, dan kami masih kesulitan hingga hari ini,"" ujar Mascherano menambahkan.
Mascherano turut mengkritik kepemimpinan wasit, namun ia juga tak membantah timnya kali ini lebih banyak melakukan kesalahan yang membuat mereka kembali gagal mendulang poin.
""Sebenarnya, meski ada sedikit kontroversi di momen back pass, tidak masalah. Namu, kami terus membuat kesalahan yang sama hingga akhirnya kembali menelan kekalahan,"" ucap Mascherano.
Meski demikian, pelatih asal Argentina itu bertanggung jawab penuh terhadap serangkaian hasil minor yang dialami Lionel Messi dkk.
""Tentu saja saya adalah sosok yang bertanggung jawab. Saya sudah mengatakan sebelumnya. Kami tak boleh membiarkan kesalahan seperti ini terjadi. Tapi tidak ada gunanya saya datang ke sini dan mengulangi ucapan yang sama, tapi hal ini masih terus terjadi.""

""Berbagai masalah di tim merupakan kesalahan kami sebagai staf pelatih. Kami perlu menemukan solusi untuk berhenti membuat kesalahan dan mulai mendapatkan hasil bagus,"" terang Mascherano.
Hasil ini membuat Inter Miami tertahan di peringkat keenam klasemen MLS bagian konferensi timur dengan 22 poin. The Herons tertinggal tujuh poin dari Philadelphia Union yang berada di puncak klasemen konferensi timur.
[Gambas:Video CNN]",
"Pengamat: Lilipaly Beri Warna untuk Timnas, Wajib Adaptasi Era 'Baru'",https://www.cnnindonesia.com/olahraga/20250519171633-142-1230842/pengamat-lilipaly-beri-warna-untuk-timnas-wajib-adaptasi-era-baru,olahraga,"Pengamat sepak bola nasional, Supriyono Prima, mendukung langkahPatrick KluivertmemanggilStefano Lilipalyke pemusatan latihan (TC)Timnas Indonesiajelang Kualifikasi Piala Dunia 2026.
Di sisi lain Supriyono melihat Lilipaly harus bisa beradaptasi dengan era baru di Timnas Indonesia terutama di bawah kendali Patrick Kluivert.
""Sisi positifnya karena ada harapan ketika Lilipaly datang, berarti jika si pemain punya performa bagus maka ada peluang masuk Timnas [Indonesia] di era Patrick Kluivert,"" kata Supriyono kepada CNNIndonesia.com, Senin (19/5).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Untuk sisi yang lain yaitu Lilipaly perlu adaptasi dengan rekan-rekan dangame plan-nya. Karena jika melihat komposisi yang ada, kemungkinan [Timnas Indonesia] bakal maincounter attack,"" ia menambahkan.
Lilipaly masuk ke dalam daftar 32 pemain Timnas Indonesia di TC Bali yang berlangsung pada 26 Mei mendatang. Ini jadi perbincangan publik karena pemain 35 tahun itu terakhir membela skuad Garuda pada Agustus 2023 lalu.
Timnas Indonesia akan menghadapi China pada 5 Juni dan Jepang pada 10 Juni di sisa putaran ketiga Kualifikasi Piala Dunia 2026 zona Asia. Sadar kualitas lawan yang dihadapi, Supriyono melihat skuad Garuda perlu bermain rapi dalam urusan transisi.
""Kluivert butuh keseimbangan dalam transisi di serangan balik cepat. Sosok Fano bisa memberikan warna karena sejauh ini untuk lini depan masih belum tajam. Fano pergerakannya masih mumpuni untuk membuka lini pertahanan lawan,"" ucapnya.

Lilipaly sudah membela Timnas Indonesia sejak 2013. Selama lebih kurang satu dasawarsa, mantan pemain Utrecht itu mengoleksi 30 caps dan tiga gol untuk skuad Merah Putih.
Pemain yang bisa beroperasi sebagai gelandang serang dan winger itu sudah menjadi andalan sederet pelatih yang pernah menangani Timnas Indonesia seperti Alfred Riedl, Luis Milla, dan Shin Tae Yong.

[Gambas:Video CNN]",
